Order time	destination_lat	destination_lng	pickup_lat	pickup_lng
12:40:00	41.1098799	29.0426042	41.1044083	29.0450835
12:44:00	40.9901644	29.0290766	41.0031937	29.0434851
12:53:00	41.0111315	29.0384183	41.0236181	29.0418911
12:53:00	41.057303	28.980702	41.0489729	28.9923263
12:54:00	41.0672202	29.0302322	41.0762906	29.0260292
12:54:00	41.058701	29.0145962	41.0647855	29.0091704
13:06:00	41.0553682	28.9987786	41.0572978	28.9993039
13:09:00	41.0996382	29.0079389	41.0689637	29.010633
13:16:00	41.044069	29.010841	41.0647742	29.0091705
13:17:00	41.0607783	29.0302054	41.076853	29.0243527
13:19:00	41.0554984	28.9791944	41.0488548	28.9933148
13:23:00	41.0733562	29.0166295	41.0763891	29.0260451
13:24:00	41.053835	28.990098	41.0515102	28.9912503
13:24:00	41.076373	29.043036	41.0775174	29.0124157
13:25:00	41.044	29.002	41.0572005	28.999033
13:26:00	41.0733562	29.0166295	41.075911	29.0146915
13:27:00	41.074082	29.020336	41.0797513	29.0325159
13:27:00	41.064333	29.030999	41.0805898	29.0358062
13:31:00	40.9733521	29.0414206	40.96075333	29.07960167
13:42:00	40.98912	29.033272	41.0031681	29.0434362
13:46:00	41.07974	29.035203	41.0766876	29.0269524
13:53:00	41.0641724	29.0057072	41.0664177	29.0172769
14:00:00	41.064482	28.993241	41.0635807	28.9915591
14:01:00	41.070407	29.000171	41.0566485	28.9870075
14:04:00	41.0625417	28.9839875	41.0625472	28.9839243
14:07:00	41.0095129	28.9333369	41.0772381	29.0439924
14:09:00	41.091347	29.003465	41.0780869	29.0109156
14:09:00	41.044	29.002	41.051038	28.9928202
14:11:00	41.0508083	28.9943273	41.052673	28.9924474
14:12:00	41.0782954	29.0382869	41.0797541	29.0325238
14:38:00	41.055643	28.99238	41.0507408	28.9944785
14:44:00	41.06162	29.02171	41.0627339	29.008348
14:46:00	41.071937	29.025733	41.0782034	29.0113982
14:53:00	41.072716	28.999998	41.0696989	29.0061654
15:04:00	40.989052	29.029481	41.003181	29.0434377
15:06:00	41.108566	29.018279	41.107661	29.018533
15:14:00	41.0784306	29.0379475	41.0767061	29.0269467
15:16:00	41.033116	28.987033	41.0368999	28.9862603
15:17:00	41.049292	29.007948	41.0492395	29.0082356
15:26:00	41.0591152	28.9846232	41.0507734	28.992418
15:28:00	41.0827479	29.0214249	41.0797586	29.033117
15:42:00	41.0326473	28.9830045	41.0302838	28.988331
15:44:00	41.045742	29.012718	41.0569109	29.0099419
15:54:00	41.075306	29.043108	41.0768774	29.027122
16:05:00	41.166328	29.04995	41.1117455	29.0341729
16:14:00	41.0482285	28.995908	41.0507878	28.9945675
16:18:00	40.9748786	29.0567685	40.9798212	29.0992033
16:18:00	41.085984	29.010984	41.0782273	29.0119914
16:19:00	41.074837	29.034053	41.0749916	29.0469018
16:21:00	41.0774459	28.9843919	41.079592	29.0322251
16:23:00	41.0509501	28.9945729	41.050978	28.9946297
16:23:00	41.166328	29.04995	41.1072827	29.0178055
16:24:00	41.1217491	29.0323953	41.110858	29.0346405
16:35:00	41.089179	29.03099	41.076715	29.0268831
16:45:00	41.052434	28.994383	41.0492907	28.9958597
17:07:00	41.067507	29.040045	41.0675511	29.0400628
17:24:00	40.978535	29.071441	40.9845585	29.0531464
17:25:00	41.1081513	29.0201776	41.1072528	29.0305358
17:28:00	41.080526	29.027037	41.0797417	29.0324927
17:37:00	41.063517	29.01933	41.0773316	29.0247164
17:40:00	40.986322	29.033191	40.9844883	29.0266133
17:41:00	41.044069	29.010841	41.0477964	29.0238512
17:55:00	41.166328	29.04995	41.1041943	29.0279898
17:57:00	41.0566397	28.9992387	41.0510177	28.9925921
18:02:00	41.060281	28.993243	41.0509084	28.9925478
18:07:00	41.048279	29.007238	41.0427296	29.0022641
18:16:00	41.044	29.002	41.0424578	29.0026101
18:23:00	41.044	29.002	41.0507414	28.9924029
18:27:00	41.0580445	28.9933299	41.0510566	28.9927793
